101 - Dog,111111,0.7406542056074766,0.7317499999999999,0.6728971962616822,0.65325
101 - Dog,123456,0.7235576923076923,0.7095,0.6610576923076923,0.62975
101 - Dog,0,0.7227722772277227,0.6992499999999999,0.7202970297029703,0.6722500000000001
101 - Dog,999999,0.745679012345679,0.7464999999999999,0.7135802469135802,0.6875
101 - Dog,987654,0.7830423940149626,0.7467499999999999,0.7406483790523691,0.7025
102 - Rooster,111111,0.7266355140186916,0.71825,0.6495327102803738,0.58175
102 - Rooster,123456,0.7115384615384616,0.7052499999999999,0.6995192307692307,0.6930000000000001
102 - Rooster,0,0.7376237623762376,0.6859999999999999,0.7252475247524752,0.6895
102 - Rooster,999999,0.745679012345679,0.738,0.6666666666666666,0.6625
102 - Rooster,987654,0.7755610972568578,0.761,0.7556109725685786,0.7265
103 - Pig,111111,0.7079439252336449,0.6715000000000001,0.6565420560747663,0.6044999999999999
103 - Pig,123456,0.6754807692307693,0.643,0.5865384615384616,0.53525
103 - Pig,0,0.6782178217821783,0.6665,0.6188118811881188,0.6147499999999999
103 - Pig,999999,0.7061728395061728,0.6957500000000001,0.6790123456790124,0.64625
103 - Pig,987654,0.6957605985037406,0.6657500000000001,0.6633416458852868,0.5900000000000001
104 - Cow,111111,0.7219626168224299,0.70475,0.6728971962616822,0.64525
104 - Cow,123456,0.6682692307692307,0.656,0.6634615384615384,0.6295
104 - Cow,0,0.6831683168316832,0.6352500000000001,0.6361386138613861,0.56475
104 - Cow,999999,0.7382716049382716,0.73475,0.6888888888888889,0.6705
104 - Cow,987654,0.7331670822942643,0.725,0.685785536159601,0.653
105 - Frog,111111,0.6845794392523364,0.6617500000000001,0.6658878504672897,0.653
105 - Frog,123456,0.6899038461538461,0.6485,0.6610576923076923,0.6010000000000001
105 - Frog,0,0.6856435643564357,0.647,0.6633663366336634,0.5892499999999999
105 - Frog,999999,0.7234567901234568,0.70675,0.7160493827160493,0.712
105 - Frog,987654,0.7556109725685786,0.743,0.7007481296758105,0.6719999999999999
106 - Cat,111111,0.7453271028037384,0.731,0.7149532710280374,0.68525
106 - Cat,123456,0.71875,0.6995,0.6995192307692307,0.68875
106 - Cat,0,0.7153465346534653,0.6835,0.7054455445544554,0.6615
106 - Cat,999999,0.7679012345679013,0.752,0.7234567901234568,0.6910000000000001
106 - Cat,987654,0.7830423940149626,0.7705,0.7605985037406484,0.7255
107 - Hen,111111,0.7102803738317757,0.6917500000000001,0.6565420560747663,0.6457499999999999
107 - Hen,123456,0.7211538461538461,0.72125,0.6875,0.6747500000000001
107 - Hen,0,0.7103960396039604,0.69,0.698019801980198,0.65
107 - Hen,999999,0.7037037037037037,0.7154999999999999,0.6864197530864198,0.681
107 - Hen,987654,0.770573566084788,0.7605,0.71571072319202,0.7062499999999999
108 - Insects,111111,0.7149532710280374,0.7110000000000001,0.6822429906542056,0.66225
108 - Insects,123456,0.7259615384615384,0.72275,0.6754807692307693,0.6732500000000001
108 - Insects,0,0.698019801980198,0.6647500000000001,0.6707920792079208,0.6225
108 - Insects,999999,0.7185185185185186,0.6957499999999999,0.691358024691358,0.646
108 - Insects,987654,0.7406483790523691,0.7220000000000001,0.7182044887780549,0.71925
109 - Sheep,111111,0.7079439252336449,0.7104999999999999,0.7009345794392523,0.6745000000000001
109 - Sheep,123456,0.7043269230769231,0.6844999999999999,0.6706730769230769,0.65225
109 - Sheep,0,0.6806930693069307,0.6325000000000001,0.6658415841584159,0.60525
109 - Sheep,999999,0.7037037037037037,0.6897500000000001,0.7037037037037037,0.6925000000000001
109 - Sheep,987654,0.7481296758104738,0.748,0.71571072319202,0.6815
110 - Crow,111111,0.6939252336448598,0.679,0.6518691588785047,0.62875
110 - Crow,123456,0.7115384615384616,0.69575,0.6634615384615384,0.6275
110 - Crow,0,0.6955445544554455,0.65175,0.6460396039603961,0.589
110 - Crow,999999,0.7185185185185186,0.718,0.6987654320987654,0.7030000000000001
110 - Crow,987654,0.7506234413965087,0.7405,0.685785536159601,0.63925
201 - Rain,111111,0.6238317757009346,0.5985,0.616822429906542,0.506
201 - Rain,123456,0.5576923076923077,0.6075,0.5985576923076923,0.48000000000000004
201 - Rain,0,0.6287128712871287,0.577,0.6386138613861386,0.5347500000000001
201 - Rain,999999,0.6419753086419753,0.644,0.6370370370370371,0.57325
201 - Rain,987654,0.6658354114713217,0.6865,0.6783042394014963,0.62725
202 - Sea waves,111111,0.6962616822429907,0.68625,0.6308411214953271,0.61225
202 - Sea waves,123456,0.6442307692307693,0.6395000000000001,0.6586538461538461,0.631
202 - Sea waves,0,0.6410891089108911,0.6132500000000001,0.5915841584158416,0.49425
202 - Sea waves,999999,0.674074074074074,0.645,0.6790123456790124,0.6732499999999999
202 - Sea waves,987654,0.6733167082294265,0.68125,0.7032418952618454,0.6882499999999999
203 - Crackling fire,111111,0.677570093457944,0.69875,0.6939252336448598,0.66775
203 - Crackling fire,123456,0.7139423076923077,0.6715,0.6875,0.6345000000000001
203 - Crackling fire,0,0.7178217821782178,0.6545000000000001,0.6806930693069307,0.6155
203 - Crackling fire,999999,0.762962962962963,0.7435,0.745679012345679,0.71725
203 - Crackling fire,987654,0.7556109725685786,0.7302500000000001,0.713216957605985,0.6735
204 - Crickets,111111,0.6915887850467289,0.6732499999999999,0.7009345794392523,0.659
204 - Crickets,123456,0.71875,0.69875,0.6802884615384616,0.6415000000000001
204 - Crickets,0,0.7351485148514851,0.71375,0.6633663366336634,0.6385
204 - Crickets,999999,0.7407407407407407,0.714,0.7012345679012346,0.6777500000000001
